scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,20,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,21,2.966743231,1306.180343,66.20162168,430.6010302,78.3395132,90.89307567,209.7919958,360.0327284,73.38220828,440.9544911,725.9149236,38.82174857,97.91866293,100.8499176,334.7693954,300.5942203,-5.55E-15,,TRUE,43.21048951,1306.180343,67.25931395,430.6010302,78.3395132,89.49132391,209.7919958,360.0327284,73.85810471,440.9544911,726.9582792,38.82174857,97.91866293,99.67472497,334.7693954,300.5942203,5.55E-15,,TRUE
15player_baseline,21,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,22,3.948966026,1540.149657,66.45788511,430.6119961,77.93060759,90.89307567,209.7919958,360.0829996,72.8247522,440.9654569,843.2007733,38.81094857,97.52807869,100.8499176,334.7726852,300.1853147,0,,TRUE,39.10489225,1538.983974,67.25931395,430.8266302,78.40796815,89.83753033,209.7919958,359.9641996,73.8091853,441.1800911,843.248071,38.69042353,98.00543924,99.55157116,334.8370754,300.6626753,1.11E-14,,TRUE
15player_baseline,22,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,23,5.878911972,1450.997298,15.59881561,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,23.08059486,440.9654569,748.3229803,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,16.31165847,"['u2', 'u3', 'u5', 'u6', 'u9', 'u10', 'u14', 'u15']",TRUE,45.91388035,1448.769687,26.68086937,430.6119961,77.93060759,87.90881216,209.7919958,414.413229,33.92050609,440.9654569,755.6456192,54.01187861,126.3961393,97.6702195,334.7726852,300.1853147,1.086663971,"['u2', 'u3', 'u6', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE
15player_baseline,23,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,24,5.782640219,994.1533777,65.90042903,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.12594486,441.8942374,570.4588971,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,0,,TRUE,56.51131511,994.1533777,67.42510139,431.5407766,80.2991868,89.49701831,209.7919958,358.6849867,73.85810471,441.8942374,570.7733149,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,1.03E-10,,TRUE
15player_baseline,24,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,25,5.01679945,1128.145495,38.88745872,430.8266302,78.40796815,90.89307567,209.7919958,396.9550818,46.11297455,441.1800911,610.5040947,48.67006043,117.2048368,100.8499176,334.8370754,300.6626753,-5.55E-15,,TRUE,40.05368757,1128.145495,40.24634364,430.8266302,78.40796815,89.59472922,209.7919958,396.9550818,46.7431137,441.1800911,610.8689624,48.67006043,117.2048368,99.79437227,334.8370754,300.6626753,6.13E-11,,TRUE
15player_baseline,25,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,26,5.959804535,1134.34905,66.45788511,430.3466302,77.76530504,90.89307567,209.7919958,360.3427009,73.12594486,440.7000911,639.9992771,39.13328191,97.3452265,100.8499176,334.6930754,300.0200122,0,,TRUE,43.3265512,1134.34905,67.25931395,430.3466302,77.76530504,89.52380194,209.7919958,360.3427009,73.81715208,440.7000911,641.0511074,39.13328191,97.3452265,99.67472497,334.6930754,300.0200122,5.88E-11,,TRUE
15player_baseline,26,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,27,4.129737139,1361.222253,65.56487623,433.4217522,84.21780515,90.89307567,209.7919958,357.3004476,73.38220828,443.775213,754.0726241,38.85828191,102.9671568,100.8499176,335.615612,306.4725123,2.22E-14,,TRUE,45.56200004,1361.222253,67.25931395,433.4217522,84.21780515,89.55140042,209.7919958,357.3004476,73.85595923,443.775213,754.4813798,38.85828191,102.9671568,99.61464846,335.615612,306.4725123,2.03E-11,,TRUE
15player_baseline,27,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,28,2.189460516,540.5450818,15.40109491,430.5963863,77.89625727,90.89307567,209.7919958,427.0306137,22.24612871,440.9498472,297.3119676,57.8200777,133.3913973,100.8499176,334.7680023,300.1509644,17.96738991,"['u2', 'u3', 'u6', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE,47.86685991,540.5450818,25.45119949,430.5963863,77.89625727,87.54275771,209.7919958,413.2169863,31.54407933,440.9498472,309.2800982,54.05028535,126.1681387,97.69072819,334.7680023,300.1509644,4.415559475,"['u2', 'u3', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u13', 'u14', 'u15']",TRUE
15player_baseline,28,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,29,4.127767801,1526.928585,65.56487623,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,73.77987039,441.1800911,836.5902374,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,0,,TRUE,40.78031373,1526.928585,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.64339786,441.1800911,837.2203766,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,0,,TRUE
15player_baseline,29,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,30,4.344491959,1698.206588,66.53717448,430.8266302,78.91642704,90.89307567,209.7919958,359.8928387,73.44431758,441.1800911,921.5924934,38.69214857,98.49248987,100.8499176,334.8370754,301.1711342,-4.35E-10,,TRUE,36.12811208,1698.206588,67.25931395,430.8266302,78.91642704,89.59472922,209.7919958,359.8928387,73.75608401,441.1800911,922.9124793,38.69214857,98.49248987,99.79437227,334.8370754,301.1711342,0,,TRUE
15player_baseline,30,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,31,5.78750515,1408.368932,65.56487623,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.12594486,441.8942374,777.902227,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,-5.55E-15,,TRUE,62.55557775,1408.368932,67.25931395,431.5407766,80.2991868,89.71788304,209.7919958,358.6849867,73.8093122,441.8942374,778.0688883,39.13328191,99.3814002,99.48064388,335.0513193,302.5538939,-5.55E-15,,TRUE
